AVL, B
10, 20
17, 28
59, 36
42, 44
64, 148
114, 47
78, 55
78, 52
89, 126
91, 53
81, 53
83, 147
107, 51
74, 147
107, 134
146, 142
114, 134
83, 57
180, 246
180, 59
291, 259
72, 145
198, 64
88, 70
84, 67
74, 69
87, 64
92, 71
242, 64
247, 72
80, 72
129, 66
228, 62
284, 69
179, 72
464, 68
290, 69
295, 80
191, 69
129, 145
318, 72
310, 65
403, 67
83, 68
131, 81
123, 73
429, 166
78, 245
194, 68
90, 73
414, 67
381, 82
458, 72
82, 64
514, 253
483, 81
91, 75
179, 245
452, 73
117, 72
519, 69
528, 156
89, 77
199, 74
93, 74
91, 76
608, 73
474, 67
482, 67
518, 67
194, 77
131, 76
95, 81
638, 74
540, 77
589, 73
88, 165
590, 75
561, 80
83, 347
547, 84
704, 75
82, 78
94, 80
713, 158
185, 80
715, 79
690, 78
571, 170
96, 84
625, 78
495, 76
84, 84
95, 79
740, 85
78, 85
96, 88
142, 76
722, 175
740, 167
