AVL, B
10, 20
18, 33
60, 36
43, 49
65, 156
104, 48
65, 61
80, 139
70, 48
109, 61
70, 142
171, 53
70, 66
109, 155
70, 53
141, 66
75, 262
114, 60
75, 73
176, 154
75, 65
114, 78
75, 167
292, 65
75, 78
114, 245
75, 60
176, 73
75, 154
114, 65
75, 78
250, 167
80, 65
119, 78
80, 248
181, 65
80, 78
119, 159
80, 70
297, 83
80, 172
119, 70
80, 83
181, 261
80, 65
119, 78
80, 159
521, 70
80, 83
119, 172
80, 70
181, 83
80, 368
119, 72
80, 85
297, 166
80, 77
119, 90
80, 179
181, 77
80, 90
119, 260
80, 77
455, 90
85, 171
124, 82
85, 95
186, 184
85, 82
124, 95
85, 273
302, 77
85, 90
124, 171
85, 82
186, 95
85, 184
124, 82
85, 95
526, 351
85, 72
124, 85
85, 166
186, 77
85, 90
124, 179
85, 77
302, 90
85, 260
124, 77
85, 90
186, 171
85, 82
124, 95
85, 184
966, 82
85, 95
124, 273
85, 77
186, 90
